id,province_id,name_th,name_en,category,latitude,longitude,description,opening_hours,entrance_fee_thai,entrance_fee_foreigner,is_open,status,last_verified,images,facilities,phone,website,facebook,google_maps_url,highlights,best_time_to_visit,average_duration,rating,data_source,notes
erawan-shrine,bangkok,ศาลพระพรหม,Erawan Shrine,"shrine,cultural,landmark",13.7443,100.5404,"Famous Hindu shrine featuring a four-faced Brahma statue. Busy worship site attracting locals and tourists seeking blessings and good fortune.",06:00-23:00,0,0,TRUE,open,2025-11-25,"erawan-1.jpg,erawan-2.jpg","traditional-dancers,offerings",,,"","https://goo.gl/maps/ErawanShrine","Brahma Statue,Traditional Dancers,Offerings,People Watching",Morning (07:00-09:00) or evening,30 minutes,4.5,"Google Places",Traditional Thai dancers perform when devotees fulfill vows. Located at busy Ratchaprasong intersection
yaowarat-chinatown,bangkok,เยาวราช,Yaowarat (Chinatown),"food,shopping,cultural,historical",13.7386,100.5085,"Bangkok's vibrant Chinatown famous for incredible street food, gold shops, temples, and traditional Chinese medicine stores. Comes alive at night with food stalls.",All day (best evening),0,0,TRUE,open,2025-11-25,"yaowarat-1.jpg,yaowarat-2.jpg","street-food,restroom,shops,temples",,"","https://facebook.com/yaowarat,",https://goo.gl/maps/Yaowarat,"Street Food,Gold Shops,Wat Traimit,Chinese Temples,Night Market",Evening-night (18:00-23:00),2-3 hours,4.6,"Wongnai,Michelin Guide","Best street food in Bangkok. Try at T&K Seafood, Nai Mong Hoi Tod. Very crowded weekends"
jodd-fairs-rama9,bangkok,จ๊อดแฟร์ส พระราม9,JODD FAIRS,"market,food,nightlife,shopping",13.7472,100.5646,"Modern night market featuring diverse street food, shopping, and entertainment. Instagram-worthy atmosphere with colorful lights and photo spots.",16:00-00:00,0,0,TRUE,open,2025-11-25,"joddfairs-1.jpg,joddfairs-2.jpg","parking,restroom,atm,photo-spots,live-music",,"","https://facebook.com/joddfairs,",https://goo.gl/maps/JoddFairs,"Street Food,Shopping,Instagram Spots,Live Music,Night Market",Evening (18:00-22:00),2-3 hours,4.5,"Google Places,Wongnai",Multiple locations. Also at DanNeramit. Modern alternative to traditional night markets
sea-life-bangkok,bangkok,ซีไลฟ์ แบงค็อก โอเชี่ยนเวิลด์,SEA LIFE Bangkok Ocean World,"aquarium,family,entertainment",13.7464,100.5393,"Southeast Asia's largest aquarium located beneath Siam Paragon. Features ocean tunnel, shark feeding shows, and diverse marine life.",10:00-20:00,990,990,TRUE,open,2025-11-25,"sealife-1.jpg,sealife-2.jpg","restroom,cafe,gift-shop,wheelchair,photo-ops",02-687-2000,https://www.sealifebangkok.com,https://facebook.com/SeaLifeBangkok,https://goo.gl/maps/SeaLife,"Ocean Tunnel,Shark Feeding,Penguins,Interactive Exhibits,Glass Bottom Boat",Weekday mornings to avoid crowds,2-3 hours,4.4,"TripAdvisor,Google Places",Book online for discounts. Combined tickets with Madame Tussauds available
terminal21,bangkok,เทอร์มินอล 21,Terminal 21,"shopping,food,entertainment",13.7379,100.5594,"Themed shopping mall with each floor representing a different city (Tokyo, London, Istanbul, etc.). Popular for mid-range shopping and diverse food court.",10:00-22:00,0,0,TRUE,open,2025-11-25,"terminal21-1.jpg,terminal21-2.jpg","restroom,food-court,parking,cinema,atm",02-108-0888,https://www.terminal21.co.th,https://facebook.com/Terminal21,https://goo.gl/maps/Terminal21,"City Themes,Food Court,Shopping,Cinema,Photo Spots",Weekday afternoons,2-3 hours,4.5,"Google Places",Famous Pier 21 food court on 5th floor with excellent budget Thai food. Connected to Asok BTS
mahanakhon-skywalk,bangkok,มหานคร สกายวอล์ค,Mahanakhon SkyWalk,"observation-deck,landmark,viewpoint",13.7243,100.5268,"Thailand's highest observation deck at 314 meters on top of King Power Mahanakhon building. Features thrilling glass floor and 360-degree city views.",10:00-00:00,880,880,TRUE,open,2025-11-25,"mahanakhon-1.jpg,mahanakhon-2.jpg","restroom,cafe,bar,gift-shop,glass-floor",02-677-8721,https://www.kingpowermahanakhon.co.th,https://facebook.com/Mahanakhon,https://goo.gl/maps/Mahanakhon,"Glass Floor,360 Views,Rooftop Bar,Sunset Views,City Skyline",Sunset time (17:30-19:00),1-1.5 hours,4.7,"TripAdvisor,Google Places",Book sunset slots early. Mahanakhon SkyBar on 78th floor. BTS Chong Nonsi
rot-fai-market,bangkok,ตลาดนัดรถไฟ ศรีนครินทร์,Rod Fai Night Market Srinakarin,"market,food,vintage,shopping",13.6872,100.6429,"Vintage-themed night market featuring retro items, antiques, clothing, and excellent street food. Known for nostalgic Thai railway theme and collectibles.",17:00-01:00,0,0,TRUE,open,2025-11-25,"rotfai-1.jpg,rotfai-2.jpg","parking,restroom,food-stalls,vintage-shops",,"","https://facebook.com/rotfaimarket,",https://goo.gl/maps/RotFai,"Vintage Items,Antiques,Street Food,Retro Theme,Photo Spots",Evening (19:00-23:00),2-3 hours,4.4,"Wongnai,Google Places","Open Thursday-Sunday. Free parking. Great for vintage fashion and collectibles"
siam-niramit,bangkok,สยามนิรมิต,Siam Niramit,"show,cultural,entertainment",13.7028,100.6103,"Spectacular cultural show featuring Thai history, traditions, and festivals. Includes traditional village, dinner buffet, and world-class stage production.",18:00-21:30,1500,1500,TRUE,open,2025-11-25,"siamniramit-1.jpg,siamniramit-2.jpg","parking,restaurant,traditional-village,gift-shop,wheelchair",02-649-9222,https://www.siamniramit.com,https://facebook.com/siamniramit,https://goo.gl/maps/SiamNiramit,"Cultural Show,Traditional Village,Thai Buffet,Stage Production,Costumes",Show starts 20:00,3 hours (with dinner),4.6,"TripAdvisor,TAT","Book in advance. Optional Thai buffet dinner from 18:00. Show at 20:00. Free round-trip transfer from hotels"
bang-krachao,bangkok,บางกระเจ้า,Bang Krachao (Bangkok's Green Lung),"nature,cycling,park,eco-tourism",13.6833,100.5833,"A large green area in the bend of Chao Phraya River offering cycling paths, floating markets, and Sri Nakhon Khuean Khan Park. Escape from city pollution.",All day,0,0,TRUE,open,2025-11-25,"bangkrachao-1.jpg,bangkrachao-2.jpg","bicycle-rental,floating-market,park,nature-trails",,"","","https://goo.gl/maps/BangKrachao","Cycling,Nature,Floating Market,Green Park,Bird Watching",Morning (07:00-10:00) or late afternoon,3-4 hours,4.5,"TAT,Google Places","Access via cross-river ferry from Klong Toei or Wat Klong Toei Nok. Rent bikes at pier. Visit weekend floating market"
id,province_id,name_th,name_en,category,latitude,longitude,description,opening_hours,entrance_fee_thai,entrance_fee_foreigner,is_open,status,last_verified,images,facilities,phone,website,facebook,google_maps_url,highlights,best_time_to_visit,average_duration,rating,data_source,notes
doi-suthep,chiang-mai,วัดพระธาตุดอยสุเทพ,Wat Phra That Doi Suthep,"temple,viewpoint,cultural",18.8047,98.9217,"Chiang Mai's most iconic temple perched atop Doi Suthep mountain, offering breathtaking panoramic city views and housing a sacred Buddha relic. Visitors can climb 309 steps or take a cable car.",06:00-18:00,30,50,TRUE,open,2025-11-25,"doi-suthep-1.jpg,doi-suthep-2.jpg","parking,restroom,cable-car,viewpoint,guide",053-295-002,https://www.doisuthep.com,https://facebook.com/doisutheptemple,https://goo.gl/maps/DoiSuthep,"Sacred Relic,309 Steps,Panoramic Views,Golden Chedi",Early morning (06:00-09:00) or late afternoon,2-3 hours,4.8,"TAT,Google Places",Dress code: shoulders and knees covered. Cable car available for 50 THB.
doi-inthanon,chiang-mai,อุทยานแห่งชาติดอยอินทนนท์,Doi Inthanon National Park,"nature,mountain,waterfall",18.5892,98.4873,"Thailand's highest peak (2,565m) featuring the Royal Twin Pagodas, stunning waterfalls including Wachirathan, hiking trails like Kew Mae Pan, and cool climate year-round.",06:00-18:30,300,300,TRUE,open,2025-11-25,"doi-inthanon-1.jpg,doi-inthanon-2.jpg","parking,restroom,hiking-trails,viewpoint,cafe",053-286-729,https://www.dnp.go.th/parkreserve/asp/style1/default.asp?npid=36,https://facebook.com/doiinthanonnationalpark,https://goo.gl/maps/DoiInthanon,"Highest Peak,Twin Pagodas,Waterfalls,Kew Mae Pan Trail,Cool Climate",November-February (cool season),Full day (6-8 hours),4.7,"TAT,National Park",Entrance fee 300 THB for foreigners. Bring warm clothing as it can be cold at the peak.
elephant-nature-park,chiang-mai,อุทยานธรรมชาติช้าง,Elephant Nature Park,"sanctuary,nature,ethical-tourism",19.0617,98.8642,"Ethical elephant sanctuary focused on rescue and rehabilitation. Visitors can observe elephants in their natural environment, feed them, and learn about conservation without riding or tricks.",09:00-16:00,2500,2500,TRUE,open,2025-11-25,"elephant-park-1.jpg,elephant-park-2.jpg","parking,restroom,cafe,guide,vegetarian-lunch",053-272-855,https://www.elephantnaturepark.org,https://facebook.com/ElephantNaturePark,https://goo.gl/maps/ENP,"Elephant Encounters,No Riding,Rescue Stories,Mud Bath,River Time",Year-round | Book in advance,Full day,4.9,"TripAdvisor,Ethical Tourism","Booking required in advance. Price includes transportation from Chiang Mai, lunch, guide."
wat-chedi-luang,chiang-mai,วัดเจดีย์หลวง,Wat Chedi Luang,"temple,historical,cultural",18.7870,98.9876,"14th-century temple in the Old City featuring an impressive partially-ruined chedi (stupa) and excellent example of Lanna architecture. Once housed the Emerald Buddha.",06:00-18:00,40,40,TRUE,open,2025-11-25,"chedi-luang-1.jpg,chedi-luang-2.jpg","parking,restroom,guide,monk-chat",053-814-689,https://www.watphrasingh.org,,https://goo.gl/maps/WatChediLuang,"Lanna Architecture,Ruined Chedi,Monk Chat,City Pillar",Morning (07:00-10:00),1 hour,4.6,"TAT,Google Places",Monk Chat available daily 09:00-18:00 to learn about Buddhism and Thai culture.
sunday-market,chiang-mai,ตลาดถนนคนเดินวันอาทิตย์,Sunday Night Market (Walking Street),"market,shopping,food,culture",18.7880,98.9860,"Famous weekly market stretching along Rachadamnoen Road in the Old City. Paradise for shoppers and food lovers with handmade crafts, textiles, souvenirs, and amazing street food.",16:00-23:00,0,0,TRUE,open,2025-11-25,"sunday-market-1.jpg,sunday-market-2.jpg","restroom,atm,food-stalls,shopping","053-248-604",,https://facebook.com/chiangmaisundaymarket,https://goo.gl/maps/SundayMarket,"Handicrafts,Street Food,Live Music,Local Art,Souvenirs",Sunday evenings (17:00-21:00),3-4 hours,4.7,"TAT,Lonely Planet","Open Sunday only. Bring cash, wear comfortable shoes. Very crowded but amazing atmosphere."
night-bazaar,chiang-mai,ไนท์บาซาร์เชียงใหม่,Chiang Mai Night Bazaar,"market,shopping,food,nightlife",18.7871,99.0001,"Iconic nightly market along Chang Klan Road featuring hundreds of stalls selling crafts, clothing, jewelry, and delicious local dishes like Khao Soi. Entertainment and massage parlors nearby.",18:00-23:00,0,0,TRUE,open,2025-11-25,"night-bazaar-1.jpg,night-bazaar-2.jpg","parking,restroom,atm,food-court,massage",053-281-464,https://www.chiangmainightbazaar.com,https://facebook.com/chiangmainightbazaar,https://goo.gl/maps/NightBazaar,"Shopping,Street Food,Handicrafts,Souvenirs,Massage",Every evening (19:00-22:00),2-3 hours,4.4,"TAT,Google Places",Open daily. Great for souvenirs and local food. Bargaining expected.
sticky-waterfalls,chiang-mai,น้ำตกบัวต

อง,Bua Thong Sticky Waterfalls,"nature,waterfall,adventure",19.5167,99.1833,"Unique limestone waterfalls where the grippy rocks allow visitors to climb directly up the cascading water. Natural and fun experience away from tourist crowds.",08:30-16:30,200,300,TRUE,open,2025-11-25,"sticky-falls-1.jpg,sticky-falls-2.jpg","parking,restroom,picnic-area,changing-rooms",053-456-290,,,https://goo.gl/maps/StickyWaterfalls,"Climb Waterfalls,Limestone Rocks,Swimming,Natural Pools",Morning (09:00-12:00) less crowded,2-3 hours,4.8,"TripAdvisor,Google Places","60km from city center. Entrance 300 THB for foreigners. Wear swimsuit, bring towel."
grand-canyon,chiang-mai,แกรนด์แคนยอนเชียงใหม่,Grand Canyon Chiang Mai,"waterpark,adventure,swimming",18.7344,98.9144,"Former limestone quarry transformed into adventure water park. Offers swimming, cliff jumping (5-10m), zip-lining, kayaking, and inflatable obstacle course.",10:00-19:00,50,50,TRUE,open,2025-11-25,"canyon-1.jpg,canyon-2.jpg","parking,restroom,cafe,life-jackets,lockers",080-671-1198,https://www.canyonchiangmai.com,https://facebook.com/grandcanyonwaterparkchiangmai,https://goo.gl/maps/GrandCanyon,"Cliff Jumping,Swimming,Zip-line,Kayaking,Inflatables",Afternoon (14:00-17:00),3-4 hours,4.5,"TripAdvisor,Google Places","Life jackets mandatory and included. Food and drinks available. Popular with young travelers."
cooking-class,chiang-mai,โรงเรียนสอนทำอาหาร,Thai Farm Cooking School,"cooking,cultural,food,experience",18.8200,98.9500,"Highly-rated cooking school offering hands-on classes to learn authentic Thai cuisine. Includes market visit, farm tour, and cooking 5-7 dishes to take home the recipes.",08:30-14:30,1000,1000,TRUE,open,2025-11-25,"cooking-class-1.jpg,cooking-class-2.jpg","parking,cooking-stations,ingredients,recipe-book",081-388-3939,https://www.thaifarmcooking.net,https://facebook.com/thaifarmcooking,https://goo.gl/maps/ThaiCooking,"Market Visit,Organic Farm,Hands-on Cooking,Recipe Book,Lunch Included",Morning or afternoon classes,Half day (5-6 hours),4.9,"TripAdvisor,Google Reviews","Booking required. Price includes transport, ingredients, recipes. Vegetarian options available."
wat-phra-singh,chiang-mai,วัดพระสิงห์,Wat Phra Singh,"temple,cultural,historical",18.7878,98.9836,"One of Chiang Mai's most venerated temples featuring classic Lanna architecture and housing the revered Phra Singh Buddha statue. Beautiful murals and intricate wood carvings.",06:00-18:00,40,40,TRUE,open,2025-11-25,"phra-singh-1.jpg,phra-singh-2.jpg","parking,restroom,guide,monk-chat",053-814-689,https://www.watphrasingh.org,,https://goo.gl/maps/WatPhraSingh,"Phra Singh Buddha,Lanna Architecture,Murals,Golden Chedi",Morning (07:00-10:00),1 hour,4.6,"TAT,Google Places",Active Buddhist temple. Respectful dress required.
nimman,chiang-mai,นิมมานเหมินท์,Nimman Neighborhood (Nimmanhaemin Road),"shopping,cafe,nightlife,trendy",18.7965,98.9684,"Hip and trendy area popular with digital nomads, students, and tourists. Features cool cafes, boutique shops, art galleries, coworking spaces, and vibrant nightlife.",All day,0,0,TRUE,open,2025-11-25,"nimman-1.jpg,nimman-2.jpg","parking,cafes,restaurants,shops,coworking",,"https://www.maya-chiangmai.com",https://facebook.com/nimmanarea,https://goo.gl/maps/Nimman,"Trendy Cafes,Shopping,Digital Nomad Hub,Art Galleries,Nightlife",Afternoon-evening (15:00-22:00),3-4 hours,4.5,"Lonely Planet,Google Places","Popular area for Instagram-worthy cafes. MAYA Lifestyle Shopping Center is the main mall."
monks-trail,chiang-mai,เส้นทางพระ,Monk's Trail to Wat Pha Lat,"hiking,temple,nature,viewpoint",18.8010,98.9180,"Serene jungle hiking trail (2-3km) leading to the hidden temple of Wat Pha Lat. Continues up to Doi Suthep. Beautiful forest setting with streams and statues along the way.",Dawn-dusk,0,0,TRUE,open,2025-11-25,"monks-trail-1.jpg,monks-trail-2.jpg","trail,temple,viewpoint,nature",,,https://facebook.com/watphalat,https://goo.gl/maps/MonksTrail,"Jungle Hike,Hidden Temple,Peaceful,Photo Spots,Continue to Doi Suthep",Early morning (06:00-09:00) cooler,2-3 hours,4.7,"TripAdvisor,Hiking Forums","Free entry. Wear proper hiking shoes. From Wat Pha  Lat, can continue 2.5km up to Doi Suthep."
warorot-market,chiang-mai,ตลาดวโรรส,Warorot Market (Kad Luang),"market,food,local,shopping",18.7900,99.0011,"Authentic local market providing a true taste of Northern Thai life. Wide variety of fresh produce, flowers, Northern Thai snacks, and handicrafts. Less touristy than night markets.",06:00-18:00,0,0,TRUE,open,2025-11-25,"warorot-1.jpg,warorot-2.jpg","restroom,parking,food-stalls,atm",053-234-156,,,https://goo.gl/maps/Warorot,"Local Life,Fresh Produce,Northern Snacks,Flowers,Cheap Eats",Morning (07:00-11:00) freshest produce,2-3 hours,4.4,"Lonely Planet,Local Guides","Open daily. Great for authentic local food and shopping. Much cheaper than tourist markets."
jungle-trekking,chiang-mai,เดินป่า,Jungle Trekking & Hill Tribes,"trekking,nature,cultural,adventure",18.9500,99.0000,"Multi-day or day trekking adventures through lush jungles visiting Karen and Lahu hill tribe villages. Includes bamboo rafting, waterfall visits, and cultural homestays.",Depends on tour,1500,1500,TRUE,open,2025-11-25,"trekking-1.jpg,trekking-2.jpg","guide,meals,transport,homestay,insurance",,"Various tour operators",,"Hill Tribes,Jungle Trek,Bamboo Rafting,Waterfall,Homestay",November-February (cool & dry),1-3 days,4.6,"Tour Operators,TripAdvisor","Prices vary by operator and duration. Book with reputable companies. Fitness level required."
ploen-ruedee,chiang-mai,ตลาดนัดเปลื้องเรือดี,Ploen Ruedee Night Market,"market,food,entertainment,nightlife",18.8150,98.9950,"Lively night market with great atmosphere, diverse street food, shopping, and entertainment including live dance shows. Popular with locals and tourists.",17:00-00:00,0,0,TRUE,open,2025-11-25,"ploen-1.jpg,ploen-2.jpg","parking,restroom,food-stalls,live-music,seating",081-234-5678,,https://facebook.com/ploenruedee,https://goo.gl/maps/PloenRuedee,"Street Food,Shopping,Live Shows,Atmosphere,Beer Garden",Evening (18:00-22:00),2-3 hours,4.5,"Google Places,Foodies","Open Tuesday-Sunday. Great food variety. Live entertainment on weekends."
wat-chiang-man,chiang-mai,วัดเชียงมั่น,Wat Chiang Man,"temple,historical,cultural",18.7910,98.9875,"Chiang Mai's oldest temple founded in 1297. Houses important Buddha images including Phra Sila and crystal Buddha Sae Tang Khamani. Beautiful elephant-supported chedi.",06:00-17:00,0,20,TRUE,open,2025-11-25,"chiang-man-1.jpg,chiang-man-2.jpg","parking,restroom,guide",053-210-417,,,https://goo.gl/maps/WatChiangMan,"Oldest Temple,Crystal Buddha,Elephant Chedi,Ancient Architecture",Morning (08:00-11:00),45 mins-1 hour,4.5,"TAT,Historical Sites","Free for Thais, 20 THB for foreigners. Quieter than other major temples."
zipline-adventure,chiang-mai,ล่องฟ้า,Flight of the Gibbon Zipline,"adventure,nature,zipline,thrill",19.0800,99.0500,"Thrilling zipline adventure through lush rainforest canopy. Over 30 platforms, longest zipline 800m. Professional guides, safety equipment, and hotel transfers included.",Depends on tour,3299,3299,TRUE,open,2025-11-25,"zipline-1.jpg,zipline-2.jpg","transport,guide,safety-equipment,lunch,insurance",053-010-660,https://www.treetopasia.com,https://facebook.com/gibbon chiangmai,https://goo.gl/maps/Gibbon,"800m Zipline,30+ Platforms,Rainforest,Safety First,Lunch Included",Morning (08:00 start),Half day (4-5 hours),4.8,"TripAdvisor,Adventure Tours","Booking required. Min age 4, max weight 125kg. Hotel pickup included. Very professional operation."
mae-kha-canal,chiang-mai,คลองแม่ข่า,Mae Kha Canal,"walking,cultural,local-life,photography",18.7850,99.0050,"Recently revitalized historic canal running through Old City. Picturesque walking path with renovated areas, local cafes, temples, and glimpses of authentic Chiang Mai life.",All day,0,0,TRUE,open,2025-11-25,"mae-kha-1.jpg,mae-kha-2.jpg","walking-path,cafes,photo-spots",,,https://facebook.com/maekhacanal,https://goo.gl/maps/MaeKha,"Canal Walk,Local Life,Cafes,Photo Spots,Peaceful",Late afternoon (16:00-18:00),1-2 hours,4.3,"Local Guides,Google Places","Free. Nice for leisurely walks. Several hip cafes along the canal. Great for photography."
id,province_id,name_th,name_en,category,latitude,longitude,description,opening_hours,entrance_fee_thai,entrance_fee_foreigner,is_open,status,last_verified,images,facilities,phone,website,facebook,google_maps_url,highlights,best_time_to_visit,average_duration,rating,data_source,notes
patong-beach,phuket,หาดป่าตอง,Patong Beach,"beach,nightlife,entertainment,water-sports",7.8966,98.2966,"Phuket's most famous beach and entertainment hub. White sand beach with water sports by day, transforms into vibrant nightlife center with beach clubs, bars, and legendary Bangla Road at night.",All day,0,0,TRUE,open,2025-11-25,"patong-1.jpg,patong-2.jpg","parking,restroom,restaurants,bars,water-sports,beach-chairs",076-340-246,,https://facebook.com/patongbeachphuket,https://goo.gl/maps/PatongBeach,"Beach,Water Sports,Nightlife,Bangla Road,Shopping",November-April (dry season),Full day,4.4,"TAT,Google Places","Very crowded. Watch belongings. Great for nightlife. Beach chairs 100-200 THB/day."
kata-beach,phuket,หาดกะตะ,Kata Beach,"beach,family,surfing,swimming",7.8148,98.2983,"Popular family-friendly beach with calm waters, golden sand, and scenic views. Excellent for swimming, snorkeling, and surfing during monsoon season. Less crowded than Patong.",All day,0,0,TRUE,open,2025-11-25,"kata-1.jpg,kata-2.jpg","parking,restroom,restaurants,surf-rental,lifeguard",076-330-803,,https://facebook.com/katabeach,https://goo.gl/maps/KataBeach,"Family Friendly,Surfing,Swimming,Snorkeling,Viewpoint",November-April | May-Oct for surfing,Full day,4.6,"TAT,Surf Guides","Two beaches: Kata and Kata Noi. Kata Noi quieter. Good surf May-October."
