id,name_th,name_en,region,latitude,longitude,slogan_en,best_season,description,image,population,updated_at
phetchabun,เพชรบูรณ์,Phetchabun,north,16.4189,101.1609,City of Gems,November-February,"Cool climate, mountains, and Khao Kho viewpoints",phetchabun.jpg,26000,2025-11-25
songkhla,สงขลา,Songkhla,south,7.1894,100.5954,Twin City,December-March,"Beautiful beaches, Songkhla Lake, and multicultural heritage",songkhla.jpg,158000,2025-11-25
nakhon-sawan,นครสวรรค์,Nakhon Sawan,central,15.7047,100.1251,Heaven City,November-February,"Confluence of rivers and bird watching at Bung Boraphet",nakhon-sawan.jpg,77000,2025-11-25
phrae,แพร่,Phrae,north,18.1446,100.1400,Teak Wood Province,November-February,"Traditional teak houses and serene northern Thai atmosphere",phrae.jpg,18000,2025-11-25
mae-hong-son,แม่ฮ่องสอน,Mae Hong Son,north,19.3014,97.9653,City of Three Mists,November-February,"Remote mountainous province with Burmese influence and stunning scenery",mae-hong-son.jpg,8000,2025-11-25
saraburi,สระบุรี,Saraburi,central,14.5289,100.9103,Sunflower Fields,November-January,"Sunflower fields, Buddhist pilgrimage sites, and Khao Yai foothills",saraburi.jpg,63000,2025-11-25
loei,เลย,Loei,northeast,17.4860,101.7223,Sea of Mountains,October-February,"Cool climate, Phu Kradueng National Park, and winter festivals",loei.jpg,48000,2025-11-25
ratchaburi,ราชบุรี,Ratchaburi,west,13.5282,99.8134,Dragon Jar Province,November-February,"Floating markets, pottery, and Damnoen Saduak",ratchaburi.jpg,99000,2025-11-25
satun,สตูล,Satun,south,6.6238,100.0673,Hidden Gem of Andaman,November-April,"Tarutao National Marine Park and Koh Lipe paradise",satun.jpg,33000,2025-11-25
chumphon,ชุมพร,Chumphon,south,10.4930,99.1800,Gateway to the South,December-March,"Diving sites, pristine beaches, and fresh seafood",chumphon.jpg,44000,2025-11-25
buri-ram,บุรีรัมย์,Buriram,northeast,15.0000,103.1000,City of Happiness,November-February,"Ancient Khmer temples and modern sports facilities",buriram.jpg,42000,2025-11-25
ranong,ระนอง,Ranong,south,9.9657,98.6387,Rainiest Province,February-April,"Hot springs, mangrove forests, and gateway to Myanmar",ranong.jpg,24000,2025-11-25
surin,สุรินทร์,Surin,northeast,14.8818,103.4936,Elephant Province,November-February,"Famous Elephant Round-up festival and traditional silk weaving",surin.jpg,42000,2025-11-25
phangnga,พังงา,Phang Nga,south,8.4509,98.5255,James Bond Island,November-April,"Spectacular limestone karsts in Phang Nga Bay",phangnga.jpg,26000,2025-11-25
nakhon-nayok,นครนายก,Nakhon Nayok,central,14.2069,101.2130,Natural Paradise Near Bangkok,Year-round,"Waterfalls, rafting, and riverside resorts close to Bangkok",nakhon-nayok.jpg,26000,2025-11-25
phetchaburi,เพชรบุรี,Phetchaburi,central,13.1119,99.9450,Historical Seaside Town,November-February,"Royal palaces, caves, and Cha-am beach",phetchaburi.jpg,46000,2025-11-25
si-sa-ket,ศรีสะเกษ,Si Sa Ket,northeast,15.1186,104.3220,Khmer Heritage,November-February,"Impressive Khmer temple ruins including Prasat Preah Vihear",si-sa-ket.jpg,50000,2025-11-25
nan,น่าน,Nan,north,18.7838,100.7792,Hidden Northern Gem,November-February,"Remote valleys, Wat Phumin murals, and authentic Lanna culture",nan.jpg,23000,2025-11-25
uttaradit,อุตรดิตถ์,Uttaradit,north,17.6200,100.0992,Langsat Capital,November-February,"Famous for langsat fruit and Laplae lacquerware",uttaradit.jpg,29000,2025-11-25
phayao,พะเยา,Phayao,north,19.1921,99.8988,Lake City,November-February,"Scenic Kwan Phayao lake and peaceful northern atmosphere",phayao.jpg,21000,2025-11-25
yasothon,ยโสธร,Yasothon,northeast,15.7922,104.1453,Rocket Festival City,November-February,"Famous Bun Bang Fai rocket festival celebrating rain season",yasothon.jpg,21000,2025-11-25
prachin-buri,ปราจีนบุรี,Prachin Buri,east,14.0583,101.3714,Eastern Gateway,November-February,"Gateway to Cambodia and Khao Yai National Park",prachin-buri.jpg,46000,2025-11-25
ang-thong,อ่างทอง,Ang Thong,central,14.5896,100.4550,Golden Basin,November-February,"Wat Muang's giant Buddha statue and traditional crafts",ang-thong.jpg,38000,2025-11-25
yala,ยะลา,Yala,south,6.5408,101.2809,Southernmost City,Year-round,"Multicultural southern city with caves and natural wonders",yala.jpg,137000,2025-11-25
roi-et,ร้อยเอ็ด,Roi Et,northeast,16.0538,103.6531,City of 101,November-February,"Giant standing Buddha and authentic Isan culture",roi-et.jpg,45000,2025-11-25
maha-sarakham,มหาสารคาม,Maha Sarakham,northeast,16.1828,103.3008,Education City,November-February,"University town with museums and local silk production",maha-sarakham.jpg,52000,2025-11-25
uttaradit,อุตรดิตถ์,Uttaradit,north,17.6200,100.0992,Northern Fruit Hub,November-February,"Famous for tropical fruits especially langsat",uttaradit.jpg,29000,2025-11-25
kalasin,กาฬสินธุ์,Kalasin,northeast,16.4322,103.5063,Dinosaur Province,November-February,"Phu Kum Khao Dinosaur Museum and silk weaving traditions",kalasin.jpg,38000,2025-11-25
mukdahan,มุกดาหาร,Mukdahan,northeast,16.5426,104.7233,Mekong Riverside,November-February,"Mekong riverside with views of Laos and Indochinese market",mukdahan.jpg,44000,2025-11-25
nong-khai,หนองคาย,Nong Khai,northeast,17.8782,102.7412,Mekong Gateway,November-February,"Friendship Bridge to Laos and Sala Kaew Ku sculpture park",nong-khai.jpg,51000,2025-11-25
nong-bua-lam-phu,หนองบัวลำภู,Nong Bua Lam Phu,northeast,17.2044,102.4260,Quiet Isan Province,November-February,"Wat Tham Klong Phen temple and peaceful rural atmosphere",nong-bua-lam-phu.jpg,25000,2025-11-25
tak,ตาก,Tak,north,16.8660,99.1265,Border Province,November-February,"Bhumibol Dam, hot springs, and Myanmar border trade",tak.jpg,25000,2025-11-25
amnat-charoen,อำนาจเจริญ,Amnat Charoen,northeast,15.8657,104.6259,New Isan Province,November-February,"Young province with traditional Isan lifestyle",amnat-charoen.jpg,37000,2025-11-25
pathum-thani,ปทุมธานี,Pathum Thani,central,14.0208,100.5250,Lotus Province,November-February,"Industrial zone with Dream World theme park and Klong Lat Mayom floating market",pathum-thani.jpg,376000,2025-11-25
samut-prakan,สมุทรปราการ,Samut Prakan,central,13.5990,100.5998,Ancient City,November-February,"Ancient City open-air museum and crocodile farm",samut-prakan.jpg,524000,2025-11-25
samut-sakhon,สมุทรสาคร,Samut Sakhon,central,13.5475,100.2744,Seafood Province,November-February,"Major seafood processing center and Don Hoi Lot",samut-sakhon.jpg,214000,2025-11-25
samut-songkhram,สมุทรสงคราม,Samut Songkhram,central,13.4099,100.0020,Smallest Province,November-February,"Famous Maeklong Railway Market and Amphawa floating market",samut-songkhram.jpg,36000,2025-11-25
sing-buri,สิงห์บุรี,Sing Buri,central,14.8936,100.3967,Lion City,November-February,"Small quiet province with ancient temples along Chao Phraya",sing-buri.jpg,20000,2025-11-25
chainat,ชัยนาท,Chai Nat,central,15.1851,100.1250,Bird Sanctuary,November-February,"Chaimat Dam bird sanctuary and rice farming region",chainat.jpg,27000,2025-11-25
lop-buri,ลพบุรี,Lopburi,central,14.7995,100.6534,Monkey Town,November-February,"Ancient Khmer ruins and famous monkey temple",lopburi.jpg,58000,2025-11-25
suphan-buri,สุพรรณบุรี,Suphan Buri,central,14.4745,100.1177,Golden Province,November-February,"Don Chedi Monument and traditional Thai culture",suphanburi.jpg,54000,2025-11-25
narathiwat,นราธิวาส,Narathiwat,south,6.4254,101.8253,Southern Border,February-April,"Beautiful beaches, unique Malay-Thai culture, and historic mosques",narathiwat.jpg,51000,2025-11-25
pattani,ปัตตานี,Pattani,south,6.7686,101.3254,Malay Heritage,February-April,"Rich Malay Islamic heritage and Krue Se Mosque",pattani.jpg,85000,2025-11-25
chaiyaphum,ชัยภูมิ,Chaiyaphum,northeast,15.8060,102.0313,Siam Tulip Province,November-February,"Pink Siam Tulip fields at Phu Hin Rong Kla flowers",chaiyaphum.jpg,58000,2025-11-25
nakhon-phanom,นครพนม,Nakhon Phanom,northeast,17.3917,104.7695,Naga Province,November-February,"Mekong riverside with Naga fireball phenomenon and That Phanom stupa",nakhon-phanom.jpg,51000,2025-11-25
