id,province_id,name_th,name_en,category,latitude,longitude,description,opening_hours,entrance_fee_thai,entrance_fee_foreigner,is_open,status,last_verified,images,facilities,phone,website,facebook,google_maps_url,highlights,best_time_to_visit,average_duration,rating,data_source,notes
cooking-class,chiang-mai,โรงเรียนสอนทำอาหาร,Thai Farm Cooking School,"cooking,cultural,food,experience",18.8200,98.9500,"Highly-rated cooking school offering hands-on classes to learn authentic Thai cuisine. Includes market visit, farm tour, and cooking 5-7 dishes to take home the recipes.",08:30-14:30,1000,1000,TRUE,open,2025-11-25,"cooking-class-1.jpg,cooking-class-2.jpg","parking,cooking-stations,ingredients,recipe-book",081-388-3939,https://www.thaifarmcooking.net,https://facebook.com/thaifarmcooking,https://goo.gl/maps/ThaiCooking,"Market Visit,Organic Farm,Hands-on Cooking,Recipe Book,Lunch Included",Morning or afternoon classes,Half day (5-6 hours),4.9,"TripAdvisor,Google Reviews","Booking required. Price includes transport, ingredients, recipes. Vegetarian options available."
wat-phra-singh,chiang-mai,วัดพระสิงห์,Wat Phra Singh,"temple,cultural,historical",18.7878,98.9836,"One of Chiang Mai's most venerated temples featuring classic Lanna architecture and housing the revered Phra Singh Buddha statue. Beautiful murals and intricate wood carvings.",06:00-18:00,40,40,TRUE,open,2025-11-25,"phra-singh-1.jpg,phra-singh-2.jpg","parking,restroom,guide,monk-chat",053-814-689,https://www.watphrasingh.org,,https://goo.gl/maps/WatPhraSingh,"Phra Singh Buddha,Lanna Architecture,Murals,Golden Chedi",Morning (07:00-10:00),1 hour,4.6,"TAT,Google Places",Active Buddhist temple. Respectful dress required.
nimman,chiang-mai,นิมมานเหมินท์,Nimman Neighborhood (Nimmanhaemin Road),"shopping,cafe,nightlife,trendy",18.7965,98.9684,"Hip and trendy area popular with digital nomads, students, and tourists. Features cool cafes, boutique shops, art galleries, coworking spaces, and vibrant nightlife.",All day,0,0,TRUE,open,2025-11-25,"nimman-1.jpg,nimman-2.jpg","parking,cafes,restaurants,shops,coworking",,"https://www.maya-chiangmai.com",https://facebook.com/nimmanarea,https://goo.gl/maps/Nimman,"Trendy Cafes,Shopping,Digital Nomad Hub,Art Galleries,Nightlife",Afternoon-evening (15:00-22:00),3-4 hours,4.5,"Lonely Planet,Google Places","Popular area for Instagram-worthy cafes. MAYA Lifestyle Shopping Center is the main mall."
monks-trail,chiang-mai,เส้นทางพระ,Monk's Trail to Wat Pha Lat,"hiking,temple,nature,viewpoint",18.8010,98.9180,"Serene jungle hiking trail (2-3km) leading to the hidden temple of Wat Pha Lat. Continues up to Doi Suthep. Beautiful forest setting with streams and statues along the way.",Dawn-dusk,0,0,TRUE,open,2025-11-25,"monks-trail-1.jpg,monks-trail-2.jpg","trail,temple,viewpoint,nature",,,https://facebook.com/watphalat,https://goo.gl/maps/MonksTrail,"Jungle Hike,Hidden Temple,Peaceful,Photo Spots,Continue to Doi Suthep",Early morning (06:00-09:00) cooler,2-3 hours,4.7,"TripAdvisor,Hiking Forums","Free entry. Wear proper hiking shoes. From Wat Pha  Lat, can continue 2.5km up to Doi Suthep."
warorot-market,chiang-mai,ตลาดวโรรส,Warorot Market (Kad Luang),"market,food,local,shopping",18.7900,99.0011,"Authentic local market providing a true taste of Northern Thai life. Wide variety of fresh produce, flowers, Northern Thai snacks, and handicrafts. Less touristy than night markets.",06:00-18:00,0,0,TRUE,open,2025-11-25,"warorot-1.jpg,warorot-2.jpg","restroom,parking,food-stalls,atm",053-234-156,,,https://goo.gl/maps/Warorot,"Local Life,Fresh Produce,Northern Snacks,Flowers,Cheap Eats",Morning (07:00-11:00) freshest produce,2-3 hours,4.4,"Lonely Planet,Local Guides","Open daily. Great for authentic local food and shopping. Much cheaper than tourist markets."
jungle-trekking,chiang-mai,เดินป่า,Jungle Trekking & Hill Tribes,"trekking,nature,cultural,adventure",18.9500,99.0000,"Multi-day or day trekking adventures through lush jungles visiting Karen and Lahu hill tribe villages. Includes bamboo rafting, waterfall visits, and cultural homestays.",Depends on tour,1500,1500,TRUE,open,2025-11-25,"trekking-1.jpg,trekking-2.jpg","guide,meals,transport,homestay,insurance",,"Various tour operators",,"Hill Tribes,Jungle Trek,Bamboo Rafting,Waterfall,Homestay",November-February (cool & dry),1-3 days,4.6,"Tour Operators,TripAdvisor","Prices vary by operator and duration. Book with reputable companies. Fitness level required."
ploen-ruedee,chiang-mai,ตลาดนัดเปลื้องเรือดี,Ploen Ruedee Night Market,"market,food,entertainment,nightlife",18.8150,98.9950,"Lively night market with great atmosphere, diverse street food, shopping, and entertainment including live dance shows. Popular with locals and tourists.",17:00-00:00,0,0,TRUE,open,2025-11-25,"ploen-1.jpg,ploen-2.jpg","parking,restroom,food-stalls,live-music,seating",081-234-5678,,https://facebook.com/ploenruedee,https://goo.gl/maps/PloenRuedee,"Street Food,Shopping,Live Shows,Atmosphere,Beer Garden",Evening (18:00-22:00),2-3 hours,4.5,"Google Places,Foodies","Open Tuesday-Sunday. Great food variety. Live entertainment on weekends."
wat-chiang-man,chiang-mai,วัดเชียงมั่น,Wat Chiang Man,"temple,historical,cultural",18.7910,98.9875,"Chiang Mai's oldest temple founded in 1297. Houses important Buddha images including Phra Sila and crystal Buddha Sae Tang Khamani. Beautiful elephant-supported chedi.",06:00-17:00,0,20,TRUE,open,2025-11-25,"chiang-man-1.jpg,chiang-man-2.jpg","parking,restroom,guide",053-210-417,,,https://goo.gl/maps/WatChiangMan,"Oldest Temple,Crystal Buddha,Elephant Chedi,Ancient Architecture",Morning (08:00-11:00),45 mins-1 hour,4.5,"TAT,Historical Sites","Free for Thais, 20 THB for foreigners. Quieter than other major temples."
zipline-adventure,chiang-mai,ล่องฟ้า,Flight of the Gibbon Zipline,"adventure,nature,zipline,thrill",19.0800,99.0500,"Thrilling zipline adventure through lush rainforest canopy. Over 30 platforms, longest zipline 800m. Professional guides, safety equipment, and hotel transfers included.",Depends on tour,3299,3299,TRUE,open,2025-11-25,"zipline-1.jpg,zipline-2.jpg","transport,guide,safety-equipment,lunch,insurance",053-010-660,https://www.treetopasia.com,https://facebook.com/gibbon chiangmai,https://goo.gl/maps/Gibbon,"800m Zipline,30+ Platforms,Rainforest,Safety First,Lunch Included",Morning (08:00 start),Half day (4-5 hours),4.8,"TripAdvisor,Adventure Tours","Booking required. Min age 4, max weight 125kg. Hotel pickup included. Very professional operation."
mae-kha-canal,chiang-mai,คลองแม่ข่า,Mae Kha Canal,"walking,cultural,local-life,photography",18.7850,99.0050,"Recently revitalized historic canal running through Old City. Picturesque walking path with renovated areas, local cafes, temples, and glimpses of authentic Chiang Mai life.",All day,0,0,TRUE,open,2025-11-25,"mae-kha-1.jpg,mae-kha-2.jpg","walking-path,cafes,photo-spots",,,https://facebook.com/maekhacanal,https://goo.gl/maps/MaeKha,"Canal Walk,Local Life,Cafes,Photo Spots,Peaceful",Late afternoon (16:00-18:00),1-2 hours,4.3,"Local Guides,Google Places","Free. Nice for leisurely walks. Several hip cafes along the canal. Great for photography."
